Time,forward,right,left_speed,right_speed
1100319456,196,161,1.641205,-1.0941367
1100325068,196,161,1.6400352,-0.54667836
1100330676,196,161,1.641205,-0.54706836
1100336288,196,161,1.6400352,-0.54667836
1100341896,196,161,1.641205,-1.0941367
1100347508,196,161,1.6400352,-0.54667836
1100353116,196,161,1.0941367,-1.0941367
1100358728,196,161,1.6400352,-0.54667836
1100364336,196,161,2.1882734,-1.0941367
1100369948,196,161,1.6400352,-0.54667836
1100375556,196,161,1.641205,-1.0941367
1100381168,196,161,1.6400352,-0.54667836
1100386776,196,161,1.641205,-1.0941367
1100392388,196,161,1.6400352,-1.0933567
1100397996,196,161,1.641205,-0.54706836
1100403620,196,161,2.1820476,-1.0910238
1100409216,196,161,1.0964829,-0.54824144
1100414828,196,161,2.1867135,-1.0933567
1100420436,196,161,1.0941367,-0.54706836
1100426048,196,161,1.6400352,-1.0933567
1100431656,196,161,1.641205,-1.0941367
1100437268,196,161,1.6400352,-0.54667836
1100442876,196,161,1.0941367,-1.0941367
1100448488,196,161,1.6400352,-1.0933567
1100454096,196,161,1.641205,-0.54706836
1100459708,196,161,1.6400352,-1.0933567
1100465316,196,161,1.641205,-0.54706836
1100470928,196,161,1.0933567,-1.0933567
1100476536,196,161,1.641205,-0.54706836
1100482148,196,161,1.6400352,-1.0933567
1100487756,196,161,1.641205,-0.54706836
1100493368,196,161,1.6400352,-0.54667836
1100498976,196,161,1.641205,-1.0941367
1100504588,196,161,1.6400352,-0.54667836
1100510196,196,161,1.641205,-1.0941367
1100515808,196,161,1.6400352,-0.54667836
1100521428,196,161,1.6377007,-1.0918005
1100527028,196,161,1.6435494,-0.54784983
1100532636,196,161,1.641205,-1.0941367
1100538248,196,161,2.1867135,-0.54667836
1100543856,196,161,1.0941367,-1.0941367
1100549468,196,161,1.6400352,-0.54667836
1100555076,196,161,1.641205,-1.0941367
1100560688,196,161,1.0933567,-1.0933567
1100566296,196,161,1.641205,-0.54706836
1100571908,196,161,1.6400352,-1.0933567
1100577516,196,161,1.641205,-0.54706836
1100583128,196,161,1.6400352,-0.54667836
1100588736,196,161,1.641205,-1.0941367
1100594348,196,161,1.6400352,-0.54667836
1100599956,196,161,2.1882734,-0.54706836
1100605568,196,161,1.6400352,-0.54667836
1100611176,196,161,2.1882734,-1.0941367
1100616788,196,161,2.1867135,-0.54667836
1100622396,196,161,1.641205,-0.54706836
1100628008,196,161,2.1867135,-0.54667836
1100633616,196,161,1.641205,-1.0941367
1100639228,196,161,1.6400352,-0.54667836
1100644836,196,161,2.1882734,-0.54706836
1100650448,196,161,1.6400352,-1.0933567
1100656056,196,161,1.641205,-0.54706836
1100661668,196,161,1.6400352,-0.54667836
1100667276,196,161,1.641205,-1.0941367
1100672888,196,161,2.1867135,-0.54667836
1100678496,196,161,1.641205,-1.0941367
1100684108,196,161,2.1867135,-0.54667836
1100689716,196,161,1.641205,-1.0941367
1100695328,196,161,2.1867135,-0.54667836
1100700936,196,161,2.1882734,-1.0941367
1100706548,196,161,1.6400352,-0.54667836
1100712156,196,161,2.1882734,-1.0941367
1100717768,196,161,1.6400352,-0.54667836
1100723376,196,161,1.641205,-1.0941367
1100728988,196,161,1.6400352,-1.0933567
1100734596,196,161,2.1882734,-0.54706836
1100740208,196,161,1.6400352,-1.0933567
1100745816,196,161,1.641205,-0.54706836
1100751428,196,161,1.6400352,-1.0933567
1100757036,196,161,2.1882734,-1.0941367
1100762648,196,161,1.6400352,-0.54667836
1100768264,196,161,1.638867,-1.092578
1100773868,196,161,1.6423764,-0.54745877
1100779476,196,161,1.641205,-1.0941367
1100785088,196,161,1.6400352,-0.54667836
1100790696,196,161,1.641205,-1.0941367
1100796308,196,161,1.6400352,-0.54667836
1100801916,196,161,1.641205,-1.0941367
1100807528,196,161,1.6400352,-0.54667836
1100813136,196,161,1.641205,-0.54706836
1100818748,196,161,1.6400352,-1.0933567
1100824356,196,161,1.641205,-0.54706836
1100829968,196,161,1.6400352,-1.0933567
1100835576,196,161,1.641205,-0.54706836
1100841188,196,161,1.6400352,-0.54667836
1100846796,196,161,1.641205,-1.0941367
1100852408,196,161,1.6400352,-0.54667836
1100858016,196,161,1.641205,-1.0941367
1100863628,196,161,1.6400352,-0.54667836
1100869236,196,161,1.641205,-1.0941367
1100874848,196,161,2.1867135,-0.54667836
1100880456,196,161,1.0941367,-1.0941367
1100886068,196,161,1.6400352,-1.0933567
1100891676,196,161,1.641205,-0.54706836
1100897292,196,161,1.638867,-0.546289
1100902896,196,161,1.6423764,-1.0949175
1100908508,196,161,1.6400352,-0.54667836
1100914116,196,161,1.0941367,-0.54706836
1100919728,196,161,1.6400352,-0.54667836
1100925336,196,161,1.641205,-1.0941367
1100930948,196,161,1.6400352,-0.54667836
1100936556,196,161,1.641205,-1.0941367
1100942168,196,161,1.6400352,-0.54667836
1100947776,196,161,1.641205,-1.0941367
1100953388,196,161,1.6400352,-0.54667836
1100958996,196,161,1.0941367,-0.54706836
